algorithm,params,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise_pct,rank_sil,rank_dbi,rank_ch,composite_rank
KMeans,k=3,0.2817640691739081,1.7818877990853679,1766.43645550152,3,0.0,1.0,6.0,1.0,2.6666666666666665
KMeans,k=4,0.2128850657236458,1.7407160395843415,1528.9827805217221,4,0.0,3.0,5.0,2.0,3.3333333333333335
KMeans,k=5,0.21696188255972337,1.6667052822717665,1360.4013944482747,5,0.0,2.0,4.0,4.0,3.3333333333333335
KMeans,k=6,0.17823925421813203,1.6413396313677457,1257.405904066348,6,0.0,5.0,2.0,5.0,4.0
KMeans,k=7,0.1814375698083966,1.6459654289775574,1170.7964657558393,7,0.0,4.0,3.0,7.0,4.666666666666667
KMeans,k=8,0.17561166332927883,1.5911159120322496,1105.7786158399847,8,0.0,6.0,1.0,9.0,5.333333333333333
Agglomerative,k=3,0.16354359347559544,1.984410055408117,1450.9159853360766,3,0.0,9.0,8.0,3.0,6.666666666666667
Agglomerative,k=4,0.16462423342702182,2.115317646637366,1197.3890291672333,4,0.0,8.0,12.0,6.0,8.666666666666666
Agglomerative,k=5,0.16849863604479792,2.039839622800519,1050.0309766646747,5,0.0,7.0,11.0,10.0,9.333333333333334
Agglomerative,k=8,0.14505388288309823,1.9093637939254788,834.7116065967055,8,0.0,10.0,7.0,14.0,10.333333333333334
Agglomerative,k=7,0.14028024557601942,1.9956962035201966,887.6342565569989,7,0.0,11.0,9.0,13.0,11.0
Agglomerative,k=6,0.1358654334592294,2.0103817726629587,962.4924534227806,6,0.0,12.0,10.0,12.0,11.333333333333334
GaussianMixture,k=3,0.07723585867602284,2.1948196838671943,1168.7764650164195,3,0.0,13.0,14.0,8.0,11.666666666666666
GaussianMixture,k=4,0.07104193561331335,2.165749264497261,980.6553137860428,4,0.0,14.0,13.0,11.0,12.666666666666666
GaussianMixture,k=6,0.04228077512798276,2.9289265722064894,671.9243633160598,6,0.0,15.0,16.0,16.0,15.666666666666666
GaussianMixture,k=5,0.02874621645874347,2.929775611091598,794.9022445625317,5,0.0,16.0,17.0,15.0,16.0
GaussianMixture,k=8,0.010963376831808123,2.9133601590331826,542.2937296924079,8,0.0,17.0,15.0,18.0,16.666666666666668
GaussianMixture,k=7,0.0027667798377287336,3.009677110632375,633.7132358813059,7,0.0,18.0,18.0,17.0,17.666666666666668
